Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,What else do you add to your coffee?,What kind of dairy do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?","Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
6d1rZe,25-34 years old,2,At home,"Pour over, Espresso, Coffee extract (e.g. Cometeer)",,,,Espresso,,No - just black,,,Juicy,Very strong,Light,Full caffeine,9,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
1rbD1L,25-34 years old,2,At home,French press,,,,Americano,,No - just black,,,Chocolatey,Somewhat strong,Dark,Full caffeine,7,,,,,,,,,,,,,,,,,,,
RzZv5d,45-54 years old,Less than 1,At home,Other,I buy premade canned coffee,,,Blended drink (e.g. Frappuccino),,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,Skim milk,Sweet,Somewhat light,Medium,Full caffeine,1,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,,Yes,No,$2-$4,$2-$4,No,Less than $20,Yes,Female,Some college or associate's degree,White/Caucasian,Unemployed,None,Democrat
rl0J0M,25-34 years old,3,"At the office, At home, At a cafe","Pour over, French press, Cold brew, Espresso, Other",moka,,,Espresso,,No - just black,,,Full Bodied,Somewhat strong,Dark,Full caffeine,7,,,,,,,,,,,,,,,,,,,
RzZVaP,<18 years old,1,At home,Pour over,,,,,,"Milk, dairy alternative, or coffee creamer",,,,,,,,,,,,,,,,,,,,,,,,,,
NA4d6b,,,,,,,,Other,,"Milk, dairy alternative, or coffee creamer",,,,,,,,,,,,,,,,,,,,,,,,,,
1rb6OQ,,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,
PA2krV,25-34 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work in person,$60-$80,,Yes,Yes,$6-$8,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation
BGL0v1,25-34 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,Coffee C,Coffee D,Coffee D,,$60-$80,,Yes,Yes,$6-$8,$8-$10,No,$500-$1000,Yes,Female,Bachelor's degree,White/Caucasian,Homemaker,1,No affiliation
RzZjd9,35-44 years old,2,"At home, On the go","Pour over, Espresso",,Specialty coffee shop,,Pourover,,No - just black,,,Bright,Medium,Light,Full caffeine,6,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,
PA2rZb,18-24 years old,3,,,,"National chain (e.g. Starbucks, Dunkin)",,,,No - just black,,,Juicy,,,Full caffeine,2,,,,,,,,,,,,,,,,,,,
0EbG0A,25-34 years old,2,"At home, At a cafe",Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat light,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$15-$20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
0EblMP,18-24 years old,2,At home,Coffee extract (e.g. Cometeer),,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,,,,,,,,,,,,,,,,,,,,,,,,,
QAxXXp,25-34 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Bright,Medium,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,,Yes,Yes,More than $20,More than $20,Yes,$300-$500,Yes,Female,,,,,
VZ9yLy,35-44 years old,4,"At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,No - just black,,,Nutty,Very strong,Medium,Half caff,7,Coffee C,Coffee D,Coffee D,I primarily work from home,$80-$100,,Yes,No,$6-$8,$6-$8,No,$300-$500,No,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat
dYZVYz,35-44 years old,2,At home,Espresso,,,,Cortado,,"Milk, dairy alternative, or coffee creamer",,Oat milk,Chocolatey,Somewhat strong,Dark,Full caffeine,5,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,,Yes,No,$4-$6,$4-$6,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
421dxO,45-54 years old,2,At home,"Pour over, Espresso, Coffee extract (e.g. Cometeer)",,,,Pourover,,No - just black,,,Floral,Medium,Light,Full caffeine,8,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,1,Democrat
g5QpyD,>65 years old,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Americano,,Sugar or sweetener,,,Full Bodied,Somewhat strong,Medium,Half caff,4,Coffee C,Coffee D,Coffee C,,$20-$40,,Yes,Yes,$4-$6,$4-$6,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Retired,2,No affiliation
ZdGyJa,45-54 years old,1,At home,"Pour over, Espresso",,,,Espresso,,No - just black,,,Fruity,Somewhat strong,Light,Half caff,7,Coffee A,Coffee A,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,1,Democrat
6d159J,18-24 years old,2,"At home, At the office","Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Regular drip coffee,,"No - just black, Sugar or sweetener",,,Full Bodied,Somewhat strong,Dark,Full caffeine,7,Coffee B,Coffee D,Coffee B,I primarily work in person,<$20,,Yes,No,$8-$10,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,No affiliation
9d6yGX,18-24 years old,2,At home,"Pour over, French press, Espresso",,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$10-$15,$15-$20,,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Independent
EPBEDN,25-34 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Bright,Somewhat strong,Light,Full caffeine,3,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$4-$6,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
OAj9JK,25-34 years old,1,"On the go, At home, At the office","Pour over, Espresso, Other",Aeropress,Local cafe,,Espresso,,No - just black,,,Chocolatey,Somewhat strong,Medium,Half caff,5,Coffee A,Coffee A,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$2-$4,$6-$8,No,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Republican
VZ9APy,35-44 years old,3,"At home, On the go","Pour over, Espresso",,Specialty coffee shop,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
zK02pE,55-64 years old,2,At home,Other,AeroPress,,,Other,AeroPress black coffee,No - just black,,,Full Bodied,Somewhat strong,Medium,Full caffeine,8,Coffee C,Coffee A,Coffee C,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$10-$15,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent
pL09rJ,35-44 years old,1,At home,French press,,,,Americano,,"Milk, dairy alternative, or coffee creamer",,Flavored coffee creamer,Bright,Somewhat light,Light,Full caffeine,5,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,,Yes,Yes,$2-$4,$2-$4,No,$50-$100,Yes,Male,High school graduate,White/Caucasian,Employed full-time,2,No affiliation
vN01zX,55-64 years old,2,"At home, At the office","Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Regular drip coffee,,No - just black,,,Juicy,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$4-$6,$6-$8,No,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Democrat
dYZ1Ly,25-34 years old,3,"At home, At the office","Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",,,,Cortado,,No - just black,,,Bold,Very strong,Dark,Full caffeine,4,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,No,$10-$15,$15-$20,No,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
yl0p26,25-34 years old,1,At home,Espresso,,,,Other,Cortado,"Milk, dairy alternative, or coffee creamer",,Whole milk,Full Bodied,Somewhat strong,Medium,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,,Yes,Yes,$6-$8,$10-$15,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Student,None,Independent
xd0LMk,25-34 years old,1,At home,Espresso,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,Bright,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,,Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Female,Doctorate or professional degree,White/Caucasian,Student,None,Democrat
0EbyNZ,25-34 years old,1,"At a cafe, At home","Pour over, Coffee extract (e.g. Cometeer)",,,,Pourover,,No - just black,,,Juicy,Medium,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"I love everything about coffee, the history, the love that goes into it as a craft and as a way to make a living from the farmers all the way over to the baristas",Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Non-binary,Some college or associate's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
EPBrrA,35-44 years old,1,"At home, On the go","Pour over, Espresso",,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",,Americano,,No - just black,,,Chocolatey,Medium,Light,Half caff,7,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,,Yes,Yes,$10-$15,$8-$10,No,$500-$1000,Yes,Female,Master's degree,White/Caucasian,Employed full-time,1,Independent
KMPNqA,,,At home,Pour over,,,,Pourover,,,,,Juicy,Medium,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,
dYZ4Lq,35-44 years old,2,At home,Espresso,,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Full Bodied,Somewhat strong,Medium,Full caffeine,6,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,No,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
aBjPVB,18-24 years old,3,"At home, At the office","Espresso, Other",Aeropress,,,Espresso,,No - just black,,,Full Bodied,Very strong,Medium,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,High school graduate,White/Caucasian,Employed full-time,None,No affiliation
PA2LNd,25-34 years old,1,At home,Other,aeropress,,,Regular drip coffee,,No - just black,,,Bright,Medium,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,
WAeXWR,25-34 years old,2,"At home, At the office, At a cafe","Pour over, French press",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, No - just black",,"Almond milk, Oat milk",Fruity,Medium,Light,Full caffeine,5,Coffee B,Coffee D,Coffee B,I primarily work in person,$60-$80,,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Independent
Al6NMo,18-24 years old,Less than 1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Blended drink (e.g. Frappuccino),,No - just black,,,Full Bodied,Medium,Medium,Full caffeine,3,Coffee B,Coffee D,Coffee B,I primarily work from home,$20-$40,,Yes,No,$6-$8,$10-$15,No,$100-$300,No,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
RzZQG9,18-24 years old,3,At home,"Espresso, Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Latte,,No - just black,,,Bold,Very strong,Dark,Full caffeine,10,Coffee B,Coffee D,Coffee B,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$10-$15,No,"More than $1,000",Yes,Male,High school graduate,White/Caucasian,Employed full-time,None,Republican
pL0X88,25-34 years old,1,At home,Espresso,,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Nutty,Somewhat strong,Medium,Decaf,6,Coffee B,Coffee D,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Female,Doctorate or professional degree,Asian/Pacific Islander,Student,None,Independent
YZoXgd,25-34 years old,1,"At a cafe, At home","Pour over, Other",Aeropress,,,Regular drip coffee,,No - just black,,,Fruity,Medium,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work in person,<$20,,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed part-time,None,
Al6Ypk,25-34 years old,1,At home,"Pour over, Espresso, Cold brew, French press",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,"Whole milk, Oat milk",Fruity,Medium,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Female,Bachelor's degree,White/Caucasian,Homemaker,None,Democrat
xd07Jo,35-44 years old,3,"At home, On the go","French press, Coffee brewing machine (e.g. Mr. Coffee), Bean-to-cup machine",,Local cafe,,Cappuccino,,No - just black,,,Caramalized,Somewhat strong,Medium,Full caffeine,3,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Non-binary,Master's degree,White/Caucasian,Employed part-time,None,Democrat
bl2XQ0,45-54 years old,2,At home,Pour over,,,,Pourover,,Other,"I enjoy supplements in my coffee: a turmeric reishi ashwaganda blend, a collagen powder, and shilajit",,Chocolatey,Somewhat strong,Medium,Full caffeine,5,Coffee B,Coffee D,Coffee D,,,,Yes,,,$10-$15,,$100-$300,,Female,Master's degree,White/Caucasian,,,No affiliation
XeRdOY,35-44 years old,2,"At a cafe, At home, At the office, On the go",Other,Aeropress ,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",,Regular drip coffee,,No - just black,,,Full Bodied,Somewhat strong,Dark,Full caffeine,4,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$8-$10,No,$100-$300,No,Female,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,No affiliation
421Y15,45-54 years old,2,At home,Pour over,,,,Cappuccino,,No - just black,,,Juicy,Medium,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work in person,$80-$100,,Yes,Yes,$8-$10,$10-$15,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Democrat
yl0pvg,35-44 years old,2,At home,Pour over,,,,Iced coffee,,No - just black,,,Bold,Somewhat strong,Medium,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$6-$8,No,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,Democrat
kY04pR,35-44 years old,2,At home,Espresso,,,,Americano,,No - just black,,,Fruity,Somewhat strong,Medium,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work in person,$60-$80,,Yes,Yes,$15-$20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
WAe6Bj,25-34 years old,Less than 1,At home,Other,My wife is the coffee drinker. Sometimes she shares with me,,,Espresso,,"Milk, dairy alternative, or coffee creamer",,"Whole milk, Oat milk, Skim milk",Nutty,Medium,Medium,Decaf,1,Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,,Yes,No,$4-$6,$4-$6,No,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Democrat
EPBGrX,35-44 years old,2,"At the office, At home","Pour over, Espresso",,,,Cortado,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,Fruity,Medium,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$4-$6,More than $20,Yes,$300-$500,Yes,Male,High school graduate,White/Caucasian,Employed full-time,1,Democrat
GroVAj,45-54 years old,3,"At home, At a cafe","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Pourover,,No - just black,,,Sweet,Medium,Medium,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,More than 3,No affiliation
RzZQyl,55-64 years old,2,At home,Other,Turkish,,,Cappuccino,,Sugar or sweetener,,,Sweet,Very strong,Dark,Full caffeine,8,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$2-$4,No,"More than $1,000",Yes,Female,Bachelor's degree,Other,Homemaker,3,Republican
YZob20,35-44 years old,2,"At home, At the office","Pour over, French press",,,,Pourover,,No - just black,,,Bright,Somewhat light,Light,Full caffeine,3,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,,Yes,Yes,$4-$6,$6-$8,No,$20-$50,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation
VZ9aKE,35-44 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Medium,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$10-$15,No,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,No affiliation
4210X5,45-54 years old,3,"At the office, At home","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Blended drink (e.g. Frappuccino),,"Milk, dairy alternative, or coffee creamer",,"Half and half, Coffee creamer",Sweet,Medium,Medium,Full caffeine,3,Coffee C,Coffee A,Coffee C,I primarily work in person,$60-$80,,No,No,$10-$15,$10-$15,Yes,$500-$1000,Yes,Female,Master's degree,White/Caucasian,Employed full-time,More than 3,No affiliation
BGLoze,35-44 years old,2,"At home, At the office, At a cafe","Pour over, Coffee extract (e.g. Cometeer), Espresso",,,,Pourover,,No - just black,,,Sweet,Medium,Light,Full caffeine,8,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,,Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Master's degree,Hispanic/Latino,Employed full-time,1,Democrat
kY04Md,25-34 years old,2,"At home, At the office","Espresso, French press",,,,Cortado,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,8,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,,Yes,No,$6-$8,$8-$10,No,"More than $1,000",No,Male,Some college or associate's degree,White/Caucasian,Employed full-time,1,No affiliation
yl0bW6,25-34 years old,2,At home,"Pour over, Espresso",,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$4-$6,$10-$15,No,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
bl2RdL,18-24 years old,1,"On the go, At the office, At home, At a cafe","Espresso, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",,"Deli or supermarket, Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",,Cold brew,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Whole milk, Skim milk, Half and half, Coffee creamer, Flavored coffee creamer, Oat milk, Almond milk, Soy milk",Full Bodied,Very strong,Medium,Full caffeine,5,Coffee B,Coffee A,Coffee B,I primarily work in person,$60-$80,,Yes,Yes,$8-$10,$6-$8,No,$50-$100,Yes,Male,Bachelor's degree,Hispanic/Latino,Employed full-time,None,Democrat
jB0r8R,25-34 years old,1,At home,Coffee extract (e.g. Cometeer),,,,Iced coffee,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,3,Coffee C,Coffee D,Coffee C,I primarily work from home,$60-$80,,Yes,Yes,$6-$8,$10-$15,Yes,$20-$50,Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Democrat
EPBVKl,25-34 years old,2,"At a cafe, At the office, At home","Pour over, Espresso, French press, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Oat milk, Flavored coffee creamer",Full Bodied,Somewhat strong,Medium,Full caffeine,7,Coffee C,Coffee D,Coffee C,I primarily work from home,$80-$100,,Yes,Yes,$10-$15,$15-$20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
aBjJeX,25-34 years old,2,"At a cafe, At home","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,"Coffee creamer, Oat milk",Nutty,Medium,Light,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,,Yes,Yes,$15-$20,$10-$15,No,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Homemaker,None,Democrat
MArZAp,>65 years old,3,"At the office, At home","Espresso, French press, Cold brew, Pod/capsule machine (e.g. Keurig/Nespresso), Other",Moka Pot,,,Espresso,,No - just black,,,Sweet,Somewhat strong,Medium,Full caffeine,7,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
NA4vpQ,25-34 years old,,At home,"Coffee brewing machine (e.g. Mr. Coffee), Pour over",,,,Cortado,,No - just black,,,Bold,Very strong,Light,Half caff,2,,,,,,,,,,,,,,,,,,,
Al6YG0,25-34 years old,1,"At the office, At home, At a cafe, On the go","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew",,"Specialty coffee shop, Local cafe, National chain (e.g. Starbucks, Dunkin)",,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer",,Half and half,Caramalized,Somewhat strong,Medium,Full caffeine,6,Coffee B,Coffee D,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$4-$6,$8-$10,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
xd0byG,25-34 years old,1,At the office,,,,,Pourover,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,6,Coffee C,Coffee D,Coffee D,I primarily work in person,<$20,,Yes,No,$4-$6,$8-$10,No,$500-$1000,Yes,Male,Bachelor's degree,Hispanic/Latino,Employed full-time,None,Independent
ZdGkZA,25-34 years old,1,"At home, At the office","Pour over, French press",,,,Pourover,,No - just black,,,Nutty,Medium,Medium,Full caffeine,4,Coffee C,Coffee A,Coffee C,I do a mix of both,<$20,,Yes,No,$4-$6,$8-$10,No,$20-$50,Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,None,Democrat
xd0bvk,25-34 years old,1,At home,Pour over,,,,Espresso,,No - just black,,,Juicy,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$10-$15,More than $20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
421Yyk,25-34 years old,1,"On the go, At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,"Local cafe, Specialty coffee shop",,Latte,,No - just black,,,Bright,Very strong,Medium,Full caffeine,6,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Female,Master's degree,White/Caucasian,Employed full-time,None,Democrat
vN069v,25-34 years old,1,At a cafe,,,,,Regular drip coffee,,No - just black,,,Bright,Medium,Medium,Full caffeine,8,Coffee A,Coffee D,Coffee C,I primarily work from home,$40-$60,,Yes,Yes,$10-$15,$10-$15,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
QAx9Ol,25-34 years old,2,"At home, At the office","Espresso, Instant coffee, Coffee brewing machine (e.g. Mr. Coffee)",,,,Regular drip coffee,,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Oat milk, Flavored coffee creamer",Nutty,Medium,Medium,Full caffeine,2,Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,,Yes,Yes,$6-$8,$10-$15,Yes,$20-$50,Yes,Female,Bachelor's degree,Hispanic/Latino,Employed full-time,None,Democrat
zK0B5a,25-34 years old,1,At home,"Espresso, Other",Clever,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Half and half,Full Bodied,Somewhat strong,Medium,Full caffeine,7,Coffee B,Coffee A,Coffee B,I do a mix of both,$20-$40,,No,No,$8-$10,$8-$10,Yes,$500-$1000,Yes,Female,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
7dJ0a6,35-44 years old,1,"At home, At the office","Pour over, Espresso",,,,Pourover,,No - just black,,,Juicy,Medium,Nordic,Full caffeine,8,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,,Yes,Yes,$8-$10,$10-$15,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,Democrat
bl2RPe,45-54 years old,1,"At the office, At home","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,"Half and half, Whole milk",Chocolatey,Medium,Light,Full caffeine,5,Coffee B,Coffee D,Coffee D,I do a mix of both,$60-$80,,Yes,Yes,$8-$10,$10-$15,Yes,$300-$500,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
LdExxv,25-34 years old,2,At home,"Pour over, French press, Espresso, Cold brew, Other","Moka Pot, Aeropress",,,Pourover,,No - just black,,,Fruity,Very strong,Medium,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Non-binary,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
